edition,source,column_year,jurisdiction,side,instrument,value_usd_bn,unit_published,note
ISD 2015,ISD 2015 PDF InvestmentsStatisti_1499166938.pdf p.10 Fig.9,2015,Curacao,long,lt_debt,0.0,US$ bn,
ISD 2015,ISD 2015 PDF InvestmentsStatisti_1499166938.pdf p.10 Fig.9,2015,Denmark,long,total,18.0,US$ bn,
ISD 2015,ISD 2015 PDF InvestmentsStatisti_1499166938.pdf p.10 Fig.9,2015,Denmark,long,equities,3.0,US$ bn,
ISD 2015,ISD 2015 PDF InvestmentsStatisti_1499166938.pdf p.10 Fig.9,2015,Denmark,long,master_funds,0.0,US$ bn,
ISD 2015,ISD 2015 PDF InvestmentsStatisti_1499166938.pdf p.10 Fig.9,2015,Denmark,long,st_debt,0.0,US$ bn,
ISD 2015,ISD 2015 PDF InvestmentsStatisti_1499166938.pdf p.10 Fig.9,2015,Denmark,long,lt_debt,15.0,US$ bn,
ISD 2015,ISD 2015 PDF InvestmentsStatisti_1499166938.pdf p.10 Fig.9,2015,Hong Kong,long,total,15.0,US$ bn,
ISD 2015,ISD 2015 PDF InvestmentsStatisti_1499166938.pdf p.10 Fig.9,2015,Hong Kong,long,equities,10.0,US$ bn,
ISD 2015,ISD 2015 PDF InvestmentsStatisti_1499166938.pdf p.10 Fig.9,2015,Hong Kong,long,master_funds,0.0,US$ bn,
ISD 2015,ISD 2015 PDF InvestmentsStatisti_1499166938.pdf p.10 Fig.9,2015,Hong Kong,long,st_debt,1.0,US$ bn,
ISD 2015,ISD 2015 PDF InvestmentsStatisti_1499166938.pdf p.10 Fig.9,2015,Hong Kong,long,lt_debt,4.0,US$ bn,
ISD 2015,ISD 2015 PDF InvestmentsStatisti_1499166938.pdf p.10 Fig.9,2015,Ireland,long,total,15.0,US$ bn,
ISD 2015,ISD 2015 PDF InvestmentsStatisti_1499166938.pdf p.10 Fig.9,2015,Ireland,long,equities,10.0,US$ bn,
ISD 2015,ISD 2015 PDF InvestmentsStatisti_1499166938.pdf p.10 Fig.9,2015,Ireland,long,master_funds,2.0,US$ bn,
ISD 2015,ISD 2015 PDF InvestmentsStatisti_1499166938.pdf p.10 Fig.9,2015,Ireland,long,st_debt,0.0,US$ bn,
ISD 2015,ISD 2015 PDF InvestmentsStatisti_1499166938.pdf p.10 Fig.9,2015,Ireland,long,lt_debt,3.0,US$ bn,
ISD 2015,ISD 2015 PDF InvestmentsStatisti_1499166938.pdf p.10 Fig.9,2015,Sweden,long,total,15.0,US$ bn,
ISD 2015,ISD 2015 PDF InvestmentsStatisti_1499166938.pdf p.10 Fig.9,2015,Sweden,long,equities,4.0,US$ bn,
ISD 2015,ISD 2015 PDF InvestmentsStatisti_1499166938.pdf p.10 Fig.9,2015,Sweden,long,master_funds,0.0,US$ bn,
ISD 2015,ISD 2015 PDF InvestmentsStatisti_1499166938.pdf p.10 Fig.9,2015,Sweden,long,st_debt,0.0,US$ bn,
ISD 2015,ISD 2015 PDF InvestmentsStatisti_1499166938.pdf p.10 Fig.9,2015,Sweden,long,lt_debt,11.0,US$ bn,
ISD 2015,ISD 2015 PDF InvestmentsStatisti_1499166938.pdf p.10 Fig.9,2015,Netherlands,long,total,14.0,US$ bn,
ISD 2015,ISD 2015 PDF InvestmentsStatisti_1499166938.pdf p.10 Fig.9,2015,Netherlands,long,equities,4.0,US$ bn,
ISD 2015,ISD 2015 PDF InvestmentsStatisti_1499166938.pdf p.10 Fig.9,2015,Netherlands,long,master_funds,0.0,US$ bn,
ISD 2015,ISD 2015 PDF InvestmentsStatisti_1499166938.pdf p.10 Fig.9,2015,Netherlands,long,st_debt,0.0,US$ bn,
ISD 2015,ISD 2015 PDF InvestmentsStatisti_1499166938.pdf p.10 Fig.9,2015,Netherlands,long,lt_debt,10.0,US$ bn,
ISD 2015,ISD 2015 PDF InvestmentsStatisti_1499166938.pdf p.10 Fig.9,2015,British Virgin Islands,long,total,11.0,US$ bn,
ISD 2015,ISD 2015 PDF InvestmentsStatisti_1499166938.pdf p.10 Fig.9,2015,British Virgin Islands,long,equities,6.0,US$ bn,
ISD 2015,ISD 2015 PDF InvestmentsStatisti_1499166938.pdf p.10 Fig.9,2015,British Virgin Islands,long,master_funds,5.0,US$ bn,
ISD 2015,ISD 2015 PDF InvestmentsStatisti_1499166938.pdf p.10 Fig.9,2015,British Virgin Islands,long,st_debt,0.0,US$ bn,
ISD 2015,ISD 2015 PDF InvestmentsStatisti_1499166938.pdf p.10 Fig.9,2015,British Virgin Islands,long,lt_debt,0.0,US$ bn,
ISD 2015,ISD 2015 PDF InvestmentsStatisti_1499166938.pdf p.10 Fig.9,2015,Other Developed Countries,long,total,60.0,US$ bn,
ISD 2015,ISD 2015 PDF InvestmentsStatisti_1499166938.pdf p.10 Fig.9,2015,Other Developed Countries,long,equities,17.0,US$ bn,
ISD 2015,ISD 2015 PDF InvestmentsStatisti_1499166938.pdf p.10 Fig.9,2015,Other Developed Countries,long,master_funds,4.0,US$ bn,
ISD 2015,ISD 2015 PDF InvestmentsStatisti_1499166938.pdf p.10 Fig.9,2015,Other Developed Countries,long,st_debt,7.0,US$ bn,
ISD 2015,ISD 2015 PDF InvestmentsStatisti_1499166938.pdf p.10 Fig.9,2015,Other Developed Countries,long,lt_debt,32.0,US$ bn,
ISD 2015,ISD 2015 PDF InvestmentsStatisti_1499166938.pdf p.10 Fig.9,2015,Other Offshore Centres,long,total,9.0,US$ bn,
ISD 2015,ISD 2015 PDF InvestmentsStatisti_1499166938.pdf p.10 Fig.9,2015,Other Offshore Centres,long,equities,5.0,US$ bn,
ISD 2015,ISD 2015 PDF InvestmentsStatisti_1499166938.pdf p.10 Fig.9,2015,Other Offshore Centres,long,master_funds,1.0,US$ bn,
ISD 2015,ISD 2015 PDF InvestmentsStatisti_1499166938.pdf p.10 Fig.9,2015,Other Offshore Centres,long,st_debt,0.0,US$ bn,
ISD 2015,ISD 2015 PDF InvestmentsStatisti_1499166938.pdf p.10 Fig.9,2015,Other Offshore Centres,long,lt_debt,3.0,US$ bn,
ISD 2015,ISD 2015 PDF InvestmentsStatisti_1499166938.pdf p.10 Fig.9,2015,Developing Europe,long,total,7.0,US$ bn,
ISD 2015,ISD 2015 PDF InvestmentsStatisti_1499166938.pdf p.10 Fig.9,2015,Developing Europe,long,equities,3.0,US$ bn,
ISD 2015,ISD 2015 PDF InvestmentsStatisti_1499166938.pdf p.10 Fig.9,2015,Developing Europe,long,master_funds,0.0,US$ bn,
ISD 2015,ISD 2015 PDF InvestmentsStatisti_1499166938.pdf p.10 Fig.9,2015,Developing Europe,long,st_debt,0.0,US$ bn,
ISD 2015,ISD 2015 PDF InvestmentsStatisti_1499166938.pdf p.10 Fig.9,2015,Developing Europe,long,lt_debt,4.0,US$ bn,
